reviewId,userName,score,at,content,thumbsUpCount
d274f221-9e84-458d-b22c-7027577d4d39,Imam Riyana,5,2026-03-12 14:00:23,mqntap,0
78ed69eb-af09-46bc-890d-cd08a7655b56,Darwati Susilastuti,5,2026-03-12 13:38:28,oke,0
1891ef74-6808-4353-ade0-94c38d0a21ff,Kanaya;3,2,2026-03-12 12:06:06,"Aturan pembatalan yang mewajibkan rekening harus atas nama penumpang itu menyulitkan. Banyak tiket dibeli orang tua atau kerabat, apalagi kalau penumpangnya masih anak dan belum punya rekening. Mohon dipertimbangkan agar pengembalian bisa ke rekening pembeli tiket, bukan hanya atas nama penumpang. Terima kasih.",0
0939b3f5-2932-4c7c-91e1-c5b7d0731153,Nur Afina Julia Larasati,2,2026-03-12 11:53:02,sistem lambat sering eror,0
b40ed89f-7608-462c-8e5c-dae0c3fd879f,Abu Yusuf Ismail,5,2026-03-12 11:46:35,"Terimakasih KAI yg telah membuat aplikasi ini sehingga pecinta kereta api terbantu untuk melakukan perjalanan bersama KAI tanpa terkena biaya aplikasi Travelling lain,seperti Traveloka dll",0
fb08d583-9b8a-4b4a-90e7-c62375c13d35,Muhammad Furqon,5,2026-03-12 11:42:53,aplikasi gila. aplikasi Indonesia kok Bontang diatas 4. gila ini kai Indonesia. jayajayajayajaya.,0
0d842ea8-dd75-440f-a654-08280622a279,Rizky Ananta,5,2026-03-12 11:42:47,baik dan respon cepat,0
98e7ff2d-1c4a-40cf-86aa-619972895647,TAUFIK MAULANA,5,2026-03-12 10:48:27,bagus,0
03f78bda-e6ea-45df-b4ef-366c9a29da42,Abdullah Rozie,5,2026-03-12 10:08:46,simple & friendly service for ticket reservation,0
f10a90c7-dfe3-4cdf-b3d5-752764ab8a72,Supri Yanto,5,2026-03-12 09:53:15,"Ribed sih, tapibia demi ke rapihan dan disiplin.",0
2bfcc57b-5c5d-42d2-8b47-f4f6502c2417,KAVALERI 12,5,2026-03-12 09:12:52,tolong dong buka lagi tiketnya,0
74e689df-e1de-407e-9036-8d63796fb635,octa pilaa,5,2026-03-12 09:09:23,baik,0
065f6d00-cc7e-4cb7-b32e-b7f52668a327,Muhamad eko Iman santoso,5,2026-03-12 08:55:36,ok baik,0
e90a35cf-73e9-4806-95a0-6d84e5dbcbec,M Taufiq Juhandi,4,2026-03-12 08:50:30,ok versi terbaru bisa menggunakan qris dalam metode pembayaran. tapi ketika memesan dan qris tersebut tidak sempat di scan di dompet digital tetapi aplikasi kai mya terclose kita ga tau dimana mengakses qris sebelumnya kembali untuk di bayar. walaupun ada di menu menunggu pembayaran pesanan kita tetapi untuk qris nya entah dimana,1
622f8c8c-6cca-475e-b338-28e617ca0a39,Den Bagus,5,2026-03-12 08:48:10,Praktis dan cepat,0
a7a2649d-7c54-415e-ba91-18c75d57b8e5,Oe Tjik,5,2026-03-12 08:30:26,cepat dna praktis,0
a80ada0d-fdf1-42d8-a5ef-0c78076b3b2c,Yuli Yulianti,1,2026-03-12 08:12:15,"kecewa banget sama ini aplikasi, saya klik tanggal pemesanan dengan benar tp tercetak tanggal yg salah.maju seminggu. resqedule kena admin,batalin kena admin.yang rugi konsumen. padahal yg salah sistem aplikasi mu yg error. ga ada solusi banget !",0
a7b7e32e-8637-473e-a909-b29d0c8c6fe5,arifin budi,1,2026-03-12 07:39:32,buruk. pembatalan tiket ribet sekali jika kita membelikan tiket untuk org lain,0
a49e65a7-d589-439f-9951-3de0a55e1a24,rahmi asti,1,2026-03-12 07:13:53,aplikasi menyebalkan beli tiket buat anak NIK nya ngk bisa dimasukkin,0
a42b9541-67cf-4ee2-98fa-83e10eabdd2f,Didi Setiawan,5,2026-03-12 07:02:01,mantap,0
f29ab9b1-50ab-4916-81a1-a3e073f1a983,Mutazar Tazar,5,2026-03-12 06:09:52,bagus,0
59e0016a-5e82-4333-a7e6-fe07451c66cf,Ahmad mukti Aji,5,2026-03-12 05:50:41,baguss,0
16d8f51c-1b79-47eb-bf93-2a13abf955ce,Puji Astuti,5,2026-03-12 05:14:33,pelayanan via online nya cepat dan mudah,0
